id_task,ref_task,titre,description,type_tache_id,bureau,qui,priorite,impact,statut,historique_statuts,date_derniere_maj,statut_precedent,date_debut,date_echeance,notes,projet,urgence,ssir_type_task,qualification_necessaire,ssir_qualification,datenow,str_statut,str_urgence,str_qui,str_bureau,str_impact,date_creation,date_modif,Créé par,strategie_id,strategie_objectif,strategie_sous_objectif,strategie_action,strategie_id_sous_objectif
Analyse et remédiation,,Mise à jour RDS -sécurisation accès rdp,"Améliorer l'infrastructure RDS existante
presta demandée + voir les anciens rapports d'audit , trouver des moyens de protéger le rds
ne pas partir de la migration des anciennes fermes",Mise à jour infrastructure,Exploit,Théo,Normal (3),Important,À faire,,2025-07-11 7:01pm,,,,Manque une stratégie globale,conformité SSI,Longue,Mise à jour infrastructure,non,,2025-07-11 7:01pm,À faire,Longue,Théo,Exploit,Important,2025-03-17 1:08am,2025-07-11 19:01:46.657700+02:00,timothee.foucart,exploit_acces_distants,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Sécurisation et homogénéisation des moyens d'accès distant (RDS, VPN, dotations en matériel portable)",Standardiser accès distants
,,test,"[11/07/2025 01:49 (Utilisateur)]
j'ai rien fait

---

[11/07/2025 01:23 (Utilisateur)]
ceci est un test",,Exploit,"Didier, Théo",Élevé (2),Critique,Backlog,,2025-07-11 7:01pm,,,,,conformité SSI,Moyenne,,non,,2025-07-11 7:01pm,Backlog,Moyenne,"Didier, Théo",Exploit,Critique,2025-07-11 1:23am,2025-07-11 19:01:50.086586+02:00,timothee.foucart,,,,,Organiser les modalités de saisines et le suivi des réponses du service aux sollicitations
,,Mise à jour Horoquartz,"[11/07/2025 01:26 (Utilisateur)]
Mise à niveau de la solution gestion du temps d'activité + planification
Soucis en lien avec les évolutions sur la version actuelle (développements en interne + publication des feuilles de garde ""à façon"" sur la solution BIRT)

---

[10/07/2025 17:47]
Mise à niveau de la solution gestion du temps d'activité + planification
Soucis en lien avec les évolutions sur la version actuelle (développements en interne + publication des feuilles de garde ""à façon"" sur la solution BIRT)

---

Mise à niveau de la solution gestion du temps d'activité + planification
Soucis en lien avec les évolutions sur la version actuelle (développements en interne + publication des feuilles de garde ""à façon"" sur la solution BIRT)",,"BDD, Chef SSIR","Chloé, Isabelle, Timothée",Élevé (2),Critique,À faire,,2025-07-11 7:01pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:01pm,À faire,Moyenne,"Chloé, Isabelle, Timothée","BDD, Chef SSIR",Critique,2025-07-08 11:48am,2025-07-11 19:01:52.169310+02:00,yvon.stortz,,,,,
,,client vpn fortinet,client vpn fortinet à déployer,,"Exploit, Réseau","Alex, Théo",Élevé (2),Important,À faire,,2025-07-11 7:01pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:01pm,À faire,Moyenne,"Alex, Théo","Exploit, Réseau",Important,2025-07-07 4:26pm,2025-07-11 19:01:53.561104+02:00,timothee.foucart,,,,,
Analyse et remédiation,,Audit AD continu,"Automatiser le suivi des audits Active Directory
 ok pas de visibilité? pas de priorité? on fait quoi?",Audit de sécurité,Exploit,"Paul, Théo",Normal (3),Modéré,Terminé,,2025-07-11 7:02pm,,,,Évaluation selon critères ANSSI,,Moyenne,Audit de sécurité,non,,2025-07-11 7:02pm,Terminé,Moyenne,"Paul, Théo",Exploit,Modéré,2025-03-17 1:08am,2025-07-11 19:02:03.589000+02:00,timothee.foucart,exploit_ad_durci,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels",Mise en conformité et durcissement de l'AD,Conformité infrastructure
Déploiement politique sécurité,,Politique mots de passe,"Engager un changement de politique des mots de passe.
=> aucun blocage ? la politique de mot de passe peut être engagée : fixer des délais prendre en compte les mises à jour.
=>> politique de mdp : phasage.
Paul me renvoie les gpo : OK
+MFA vérifier les Mises à jour
+ vérifier le positionnement de flux dmz.

=> codir ? mot de passe n'expirant jamais. => à éclaircir.
=> voir avant Yvon
+ voir avec le système de changement de mot de passe : mise à jour du produit",Déploiement politique sécurité,Exploit,Paul,Urgent (1),Important,En cours,,2025-07-11 7:02pm,,,,,infrastructure système,Immédiate,Déploiement politique sécurité,non,,2025-07-11 7:02pm,En cours,Immédiate,Paul,Exploit,Important,2025-03-17 1:08am,2025-07-11 19:02:03.589125+02:00,timothee.foucart,exploit_ad_durci,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels",Mise en conformité et durcissement de l'AD,Conformité infrastructure
Mise en production interne,,Mise en place système caméras piétons,"[10/07/2025 17:52]
Cle carre a des accès sur camera station et le w800 / en utilisant guacamole. Elle doit proposer des modes opératoires adaptées à l'organisation pompier et compatible avec les fonctionnalités dont on dispose.
On aura besoin de licences pour avoir une identification dynamique avec ad et rfid

---

[09/07/2025 08:26]
+ rdv Clea Carre pour montrer le système en place
----
RDV avec scc le 03072025 => négocier des licences bodyworn
modification fw ( manqauit une route ? ) + ok manque le lien à l'AD
impossible de mettre en oeuvre une procédure cadrée sans le logiciel adapté => tous les prérequis réseaux sont à revoir youpi

12 6 : tentative de reconfiguration l'éappairage ne fonctionne pas abvec axys camera station, les camera et le dock ne sont pas reconnus
---
Essais du 11/06 : une heure et demi de test à la caserne, pas moyen d'appairer les caméras
---
suite réunion du 6/6 : faire des enregistrements puis rebrancher les caméras sur les socles pour vérifier que le transfert se fasse
----
Évaluer et déployer le système de caméras piétons Axis. En attente de la validation de la conf réseau
ok pour la connexion matrice de flux à refaire 
doc à complèter + voir avec Midgard comment on fait pour la suite => réunion le 05062025

---

RDV avec scc le 03072025 => négocier des licences bodyworn
+ contacter clea carre pour besançon centre
modification fw ( manqauit une route ? ) + ok manque le lien à l'AD
impossible de mettre en oeuvre une procédure cadrée sans le logiciel adapté => tous les prérequis réseaux sont à revoir youpi

12 6 : tentative de reconfiguration l'éappairage ne fonctionne pas abvec axys camera station, les camera et le dock ne sont pas reconnus
---
Essais du 11/06 : une heure et demi de test à la caserne, pas moyen d'appairer les caméras
---
suite réunion du 6/6 : faire des enregistrements puis rebrancher les caméras sur les socles pour vérifier que le transfert se fasse
----
Évaluer et déployer le système de caméras piétons Axis. En attente de la validation de la conf réseau
ok pour la connexion matrice de flux à refaire 
doc à complèter + voir avec Midgard comment on fait pour la suite => réunion le 05062025",poc,"Chef SSIR, Réseau","Alex, Timothée",Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,Envoi du colis après réception bon d'envoi,Évolution applicative,Courte,Preuve de concept,non,,2025-07-11 7:02pm,En cours,Courte,"Alex, Timothée","Chef SSIR, Réseau",Important,2025-03-17 1:08am,2025-07-11 19:02:03.589223+02:00,timothee.foucart,rzo_suivi_anticipationactions,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels",Mise en place d'un outil de suivi et anticipation des actions,NexSIS-RRF
AMOA et MCO limitée,,primo installation socle astre,"[09/07/2025 17:51]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy => on est en attente
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

[09/07/2025 17:50]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy => on est en attente
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

[09/07/2025 17:50]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy => on est en attente
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

[09/07/2025 17:50]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy => on est en attente
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

[09/07/2025 17:38]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy => on est en attente
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

[09/07/2025 13:50]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy => on est en attente
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

[09/07/2025 08:24]
OK pour l'installation technique . J'ai demandé de virer le reverse proxy
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces

---

OK pour l'installation technique . J'ai demandé de virer le reverse proxy
+ il faut qu'on aille aux ateliers techniques
Voir si on est ok pour une vm isolée, a priori le plus facile à gèrer
résumé
Préparation de l'infrastructure pour le nouveau logiciel finance
exploit + bdd OK
finalisation des comptes à faire + vm pour le stockage des pièces",Identification prérequis,Chef SSIR,"Chloé, Isabelle, Théo, Timothée",Urgent (1),Important,Validation,,2025-07-11 7:02pm,,,,Architecture à valider : minimiser les VM mais aussi les problèmes de maintenance,Evolutions applicatives,Immédiate,Identification prérequis,non,,2025-07-11 7:02pm,Validation,Immédiate,"Chloé, Isabelle, Théo, Timothée",Chef SSIR,Important,2025-03-17 1:08am,2025-07-11 19:02:03.589321+02:00,timothee.foucart,tous_mcoamoa,Assurer la transition vers les systèmes d'information de demain,Mettre à jour le schéma directeur informatique,Prendre en compte les évolutions validées suite aux travaux des groupes,Continuité outils
Rédaction documentation,,Charte correspondants,"Élaborer une charte pour les correspondants informatiques
ok une première version est dans le dossier dta",Rédaction documentation,Chef SSIR,Timothée,Urgent (1),Important,Terminé,,2025-07-11 7:02pm,,2025-03-02,,Recherche une trame récente,,Immédiate,Élaboration règlement,non,,2025-07-11 7:02pm,Terminé,Immédiate,Timothée,Chef SSIR,Important,2025-03-17 1:08am,2025-07-11 19:02:03.589436+02:00,timothee.foucart,,Fonctionnement SI,Organisation,Création et animation du réseau des correspondants informatiques,Organisation
Analyse et remédiation,,changement  flux mails RZO,"[11/07/2025 01:21 (Utilisateur)]
Schéma toujours en cours. léger doute sur le smtp

#faire un schéma propre du circuit mail
#Nettoyer les règles firewall pour faciliter la migration
 # nettoyer les configs o365 qui restent : ok
#nettoyer les envois interne smtp en utilisant le nouveau relai smtp

-------------------------------------------------------------
@Alex : voir ça https://cyber.gouv.fr/sites/default/files/2016/08/np_nettoyage-politique-pare-feu.pdf
ok j'ai refais un schéma à revoir

---

[09/07/2025 08:28]
#faire un schéma propre du circuit mail
#Nettoyer les règles firewall pour faciliter la migration
 # nettoyer les configs o365 qui restent : ok
#nettoyer les envois interne smtp en utilisant le nouveau relai smtp

-------------------------------------------------------------
@Alex : voir ça https://cyber.gouv.fr/sites/default/files/2016/08/np_nettoyage-politique-pare-feu.pdf
ok j'ai refais un schéma à revoir

---

#faire un schéma propre du circuit mail
#Nettoyer les règles firewall pour faciliter la migration
@Alex : voir ça https://cyber.gouv.fr/sites/default/files/2016/08/np_nettoyage-politique-pare-feu.pdf
ok j'ai refais un schéma à revoir",Analyse et remédiation,"Chef SSIR, Exploit, Réseau","Alex, Thomas, Timothée",Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,"analyse de l'existant
préparer la cible
identifier les éléments inutiles",infrastructure système,Moyenne,Analyse et remédiation,non,,2025-07-11 7:02pm,En cours,Moyenne,"Alex, Thomas, Timothée","Chef SSIR, Exploit, Réseau",Important,2025-03-17 1:08am,2025-07-11 19:02:03.589521+02:00,timothee.foucart,tous_veilletechno,Assurer la transition vers les systèmes d'information de demain,Mettre à jour le schéma directeur informatique,"Veiller à la cohérence du système, aux opérations de nettoyage et de documentation",Conformité infrastructure
